"Name";"Severity";"Description";"Query";"QueryType";"ThresholdOperator";"Threshold";"FrequencyInMinutes";"TimeWindowInMinutes";"MTThresholdOperator";"MTThreshold";"MTMetricTriggerType";"MTMetricColumn";"AG"
"Azure SQL - DTU Usage - Critical";"0";"Azure SQL - DTU Usage - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'dtu_consumption_percent'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"90";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure SQL - DTU Usage - Warning";"1";"Azure SQL - DTU Usage - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'dtu_consumption_percent'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"80";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Agent Unreachable - Critical";"0";"Azure VM - Agent Unreachable - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Heartbeat  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize LastCall = max(TimeGenerated) by Computer, tostring(CMDB_Id), SubscriptionId = _SubscriptionId | where LastCall < ago(20m)";"ResultCount";"GreaterThan";"0";"5";"60";;;;;"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Agent Unreachable - Warning";"1";"Azure VM - Agent Unreachable - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Heartbeat  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize LastCall = max(TimeGenerated) by Computer, tostring(CMDB_Id), SubscriptionId = _SubscriptionId | where LastCall < ago(20m)";"ResultCount";"GreaterThan";"0";"5";"60";;;;;"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - CPU Usage - Critical";"0";"Azure VM - CPU Usage - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-cpu""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"95";"5";"15";"GreaterThan";"2";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - CPU Usage - Warning";"1";"Azure VM - CPU Usage - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-cpu""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"90";"5";"15";"GreaterThan";"2";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - CPU Usage High - Critical";"0";"Azure VM - CPU Usage High - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-cpu"": ""high""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"98";"5";"15";"GreaterThan";"2";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - CPU Usage High - Warning";"1";"Azure VM - CPU Usage High - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-cpu"": ""high""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"95";"5";"15";"GreaterThan";"2";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - CPU Usage Slow - Critical";"0";"Azure VM - CPU Usage Slow - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-cpu"": ""slow""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"90";"5";"15";"GreaterThan";"6";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - CPU Usage Slow - Warning";"1";"Azure VM - CPU Usage Slow - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-cpu"": ""slow""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Processor' and CounterName == '% Processor Time'; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id), _SubscriptionId";"ResultCount";"GreaterThan";"80";"5";"15";"GreaterThan";"6";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Linux Disk High Used Space - Critical";"0";"Azure VM - Linux Disk High Used Space - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-ldisk"": ""high""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"95";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Linux Disk High Used Space - Warning";"1";"Azure VM - Linux Disk High Used Space - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-ldisk"": ""high""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"90";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Linux Disk Highest Used Space - Critical";"0";"Azure VM - Linux Disk Highest Used Space - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-ldisk"": ""highest""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"97";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Linux Disk Highest Used Space - Warning";"1";"Azure VM - Linux Disk Highest Used Space - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-ldisk"": ""highest""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"94";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Linux Disk Used Space - Critical";"0";"Azure VM - Linux Disk Used Space - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-ldisk""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"90";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Linux Disk Used Space - Warning";"1";"Azure VM - Linux Disk Used Space - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-ldisk""' | summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = Perf| where ObjectName == 'Logical Disk' and CounterName == '% Used Space'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(CounterValue) by bin(TimeGenerated, 30m), Computer, InstanceName, tostring(CMDB_Id), SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"80";"30";"30";"GreaterThan";"0";"Total";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Memory Usage - Critical";"0";"Azure VM - Memory Usage - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-mem""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s); let _perf = InsightsMetrics| where Namespace == 'Memory' and Name == 'AvailableMB' | extend tags = todynamic(Tags) | project TimeGenerated, _ResourceId, Computer, P = round(100 - ((Val / parse_json(tags['vm.azm.ms/memorySizeMB'])) * 100)), _SubscriptionId ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s  | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(P) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id),  SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"95";"5";"15";"GreaterThan";"1";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Memory Usage - Warning";"1";"Azure VM - Memory Usage - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s !contains '""monitoring-mem""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s); let _perf = InsightsMetrics| where Namespace == 'Memory' and Name == 'AvailableMB' | extend tags = todynamic(Tags) | project TimeGenerated, _ResourceId, Computer, P = round(100 - ((Val / parse_json(tags['vm.azm.ms/memorySizeMB'])) * 100)), _SubscriptionId  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s  | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(P) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id),  SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"87";"5";"15";"GreaterThan";"1";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Memory Usage High - Critical";"0";"Azure VM - Memory Usage High - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-mem"": ""high""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s); let _perf = InsightsMetrics| where Namespace == 'Memory' and Name == 'AvailableMB' | extend tags = todynamic(Tags) | project TimeGenerated, _ResourceId, Computer, P = round(100 - ((Val / parse_json(tags['vm.azm.ms/memorySizeMB'])) * 100)), _SubscriptionId ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s  | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(P) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id),  SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"98";"5";"15";"GreaterThan";"1";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure VM - Memory Usage High - Warning";"1";"Azure VM - Memory Usage High - Warning";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-mem"": ""high""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s); let _perf = InsightsMetrics| where Namespace == 'Memory' and Name == 'AvailableMB' | extend tags = todynamic(Tags) | project TimeGenerated, _ResourceId, Computer, P = round(100 - ((Val / parse_json(tags['vm.azm.ms/memorySizeMB'])) * 100)), _SubscriptionId  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s  | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(P) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id),  SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"96";"5";"15";"GreaterThan";"1";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure VM - Memory Usage Slow - Critical";"0";"Azure VM - Memory Usage Slow - Critical";"let _resources = TagData_CL| where (Tags_s contains '""te-managed-service"": ""workload""' or Tags_s contains '""te-managed-service"": ""true""') and Tags_s contains '""monitoring-mem"": ""slow""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s); let _perf = InsightsMetrics| where Namespace == 'Memory' and Name == 'AvailableMB' | extend tags = todynamic(Tags) | project TimeGenerated, _ResourceId, Computer, P = round(100 - ((Val / parse_json(tags['vm.azm.ms/memorySizeMB'])) * 100)), _SubscriptionId ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s  | extend d=parse_json(Tags_s) | extend CMDB_Id=d['te-cmdb-ci-id'] | summarize AggregatedValue = avg(P) by bin(TimeGenerated, 5m), Computer, tostring(CMDB_Id),  SubscriptionId = _SubscriptionId";"ResultCount";"GreaterThan";"95";"5";"15";"GreaterThan";"6";"Consecutive";"Computer";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
